n_digit,sample_prop,trial,estimate
2,0.3333333333333333,12,306
2,0.3333333333333333,13,313
2,0.3333333333333333,14,425
2,0.3333333333333333,15,606
2,0.3333333333333333,16,405
2,0.3333333333333333,17,308
2,0.3333333333333333,18,425
2,0.3333333333333333,19,570
2,0.3333333333333333,20,570
2,0.3333333333333333,21,560
2,0.3333333333333333,22,570
2,0.3333333333333333,23,425
2,0.3333333333333333,24,560
2,0.3333333333333333,25,560
2,0.3333333333333333,26,606
2,0.3333333333333333,27,570
2,0.3333333333333333,28,606
2,0.3333333333333333,29,560
2,0.3333333333333333,30,570
2,0.3333333333333333,31,606
2,0.3333333333333333,32,606
2,0.3333333333333333,33,570
2,0.3333333333333333,34,606
2,0.3333333333333333,35,570
2,0.3333333333333333,36,425
2,0.3333333333333333,37,313
2,0.3333333333333333,38,606
2,0.3333333333333333,39,425
2,0.3333333333333333,40,560
2,0.3333333333333333,41,570
2,0.3333333333333333,42,313
2,0.3333333333333333,43,606
2,0.3333333333333333,44,570
2,0.3333333333333333,45,405
2,0.3333333333333333,46,570
2,0.3333333333333333,47,606
2,0.3333333333333333,48,570
2,0.3333333333333333,49,606
2,0.3333333333333333,50,425
2,0.3333333333333333,51,405
2,0.3333333333333333,52,293
2,0.3333333333333333,53,560
2,0.3333333333333333,54,271
2,0.3333333333333333,55,570
2,0.3333333333333333,56,606
2,0.3333333333333333,57,560
2,0.3333333333333333,58,405
2,0.3333333333333333,59,308
2,0.3333333333333333,60,570
2,0.3333333333333333,61,606
2,0.3333333333333333,62,570
2,0.3333333333333333,63,560
2,0.3333333333333333,64,560
2,0.3333333333333333,65,606
2,0.3333333333333333,66,560
2,0.3333333333333333,67,560
2,0.3333333333333333,68,570
2,0.3333333333333333,69,425
2,0.3333333333333333,70,570
2,0.3333333333333333,71,606
2,0.3333333333333333,72,606
2,0.3333333333333333,73,560
2,0.3333333333333333,74,560
2,0.3333333333333333,75,570
2,0.3333333333333333,76,425
2,0.3333333333333333,77,606
2,0.3333333333333333,78,606
2,0.3333333333333333,79,570
2,0.3333333333333333,80,425
2,0.3333333333333333,81,570
2,0.3333333333333333,82,405
2,0.3333333333333333,83,570
2,0.3333333333333333,84,570
2,0.3333333333333333,85,570
2,0.3333333333333333,86,606
2,0.3333333333333333,87,560
2,0.3333333333333333,88,313
2,0.3333333333333333,89,306
2,0.3333333333333333,90,570
2,0.3333333333333333,91,570
2,0.3333333333333333,92,570
2,0.3333333333333333,93,606
2,0.3333333333333333,94,570
2,0.3333333333333333,95,570
2,0.3333333333333333,96,570
2,0.3333333333333333,97,606
2,0.3333333333333333,98,570
2,0.3333333333333333,99,286
2,0.3333333333333333,100,570
2,0.25,1,425
2,0.25,2,606
2,0.25,3,425
2,0.25,4,271
2,0.25,5,425
2,0.25,6,606
2,0.25,7,570
2,0.25,8,560
2,0.25,9,606
2,0.25,10,570
2,0.25,11,560
2,0.25,12,606
2,0.25,13,570
2,0.25,14,570
2,0.25,15,606
2,0.25,16,606
2,0.25,17,606
2,0.25,18,560
2,0.25,19,560
2,0.25,20,606
2,0.25,21,308
2,0.25,22,313
2,0.25,23,606
2,0.25,24,560
2,0.25,25,211
2,0.25,26,425
2,0.25,27,570
2,0.25,28,308
2,0.25,29,293
2,0.25,30,606
2,0.25,31,293
